Park Name,Year,Amount,Average,Type,FullCategory,Type1,Type2
Abraham Lincoln Birthplace NHP,2009,221111,179049,NHP,National Historic Park,National Historic Park,
Abraham Lincoln Birthplace NHP,2010,177122,179049,NHP,National Historic Park,National Historic Park,
Abraham Lincoln Birthplace NHP,2011,163568,179049,NHP,National Historic Park,National Historic Park,
Abraham Lincoln Birthplace NHP,2012,169515,179049,NHP,National Historic Park,National Historic Park,
Abraham Lincoln Birthplace NHP,2013,163928,179049,NHP,National Historic Park,National Historic Park,
Acadia NP,2009,2227698,2358505,NP,National Park,National Park,
Acadia NP,2010,2504208,2358505,NP,National Park,National Park,
Acadia NP,2011,2374645,2358505,NP,National Park,National Park,
Acadia NP,2012,2431052,2358505,NP,National Park,National Park,
Acadia NP,2013,2254922,2358505,NP,National Park,National Park,
Adams NHP,2009,253656,233700,NHP,National Historic Park,National Historic Park,
Adams NHP,2010,73339,233700,NHP,National Historic Park,National Historic Park,
Adams NHP,2011,219975,233700,NHP,National Historic Park,National Historic Park,
Adams NHP,2012,336031,233700,NHP,National Historic Park,National Historic Park,
Adams NHP,2013,285501,233700,NHP,National Historic Park,National Historic Park,
African Burial Ground NM,2009,,99139,NM,National Monument,National Monument,
African Burial Ground NM,2010,117113,99139,NM,National Monument,National Monument,
African Burial Ground NM,2011,108585,99139,NM,National Monument,National Monument,
African Burial Ground NM,2012,77624,99139,NM,National Monument,National Monument,
African Burial Ground NM,2013,93234,99139,NM,National Monument,National Monument,
Agate Fossil Beds NM,2009,12694,11830,NM,National Monument,National Monument,
Agate Fossil Beds NM,2010,12509,11830,NM,National Monument,National Monument,
Agate Fossil Beds NM,2011,11617,11830,NM,National Monument,National Monument,
Agate Fossil Beds NM,2012,11824,11830,NM,National Monument,National Monument,
Agate Fossil Beds NM,2013,10504,11830,NM,National Monument,National Monument,
Alibates Flint Quarries NM,2009,2918,3084,NM,National Monument,National Monument,
Alibates Flint Quarries NM,2010,4350,3084,NM,National Monument,National Monument,
Alibates Flint Quarries NM,2011,3214,3084,NM,National Monument,National Monument,
Alibates Flint Quarries NM,2012,3383,3084,NM,National Monument,National Monument,
Alibates Flint Quarries NM,2013,1555,3084,NM,National Monument,National Monument,
Allegheny Portage Railroad NHS,2009,118931,118309,NHS,National Historic Site,National Historic Site,
Allegheny Portage Railroad NHS,2010,107363,118309,NHS,National Historic Site,National Historic Site,
Allegheny Portage Railroad NHS,2011,118410,118309,NHS,National Historic Site,National Historic Site,
Allegheny Portage Railroad NHS,2012,138864,118309,NHS,National Historic Site,National Historic Site,
Allegheny Portage Railroad NHS,2013,107977,118309,NHS,National Historic Site,National Historic Site,
Amistad NRA,2009,2573966,1595540,NRA,National Recreation Area,National Recreation Area,
Amistad NRA,2010,1574322,1595540,NRA,National Recreation Area,National Recreation Area,
Amistad NRA,2011,1436759,1595540,NRA,National Recreation Area,National Recreation Area,
Amistad NRA,2012,1367502,1595540,NRA,National Recreation Area,National Recreation Area,
Amistad NRA,2013,1025151,1595540,NRA,National Recreation Area,National Recreation Area,
Andersonville NHS,2009,136267,117654,NHS,National Historic Site,National Historic Site,
Andersonville NHS,2010,121535,117654,NHS,National Historic Site,National Historic Site,
Andersonville NHS,2011,108812,117654,NHS,National Historic Site,National Historic Site,
Andersonville NHS,2012,122883,117654,NHS,National Historic Site,National Historic Site,
Andersonville NHS,2013,98771,117654,NHS,National Historic Site,National Historic Site,
Andrew Johnson NHS,2009,63296,54026,NHS,National Historic Site,National Historic Site,
Andrew Johnson NHS,2010,60323,54026,NHS,National Historic Site,National Historic Site,
Andrew Johnson NHS,2011,52322,54026,NHS,National Historic Site,National Historic Site,
Andrew Johnson NHS,2012,51261,54026,NHS,National Historic Site,National Historic Site,
Andrew Johnson NHS,2013,42929,54026,NHS,National Historic Site,National Historic Site,
Aniakchak NM & PRES,2009,14,57,NM & PRES,National Monument and Preserve,National Monument,National Preserve
